item_type,title,creators,first_name,last_name,ean_isbn13,upc_isbn10,description,publisher,publish_date,group,tags,notes,price,length,number_of_discs,number_of_players,age_group,ensemble,aspect_ratio,esrb,rating,review,review_date,status,began,completed,added,copies,image_url,date_added,read_next
book,Teen Titans: Earth One Vol. 1,Jeff Lemire,Jeff,Lemire,9781401245566,1401245560,"A new original graphic novel in DC&#039;s popular &quot;Earth One&quot; series, TEEN TITANS: EARTH ONE follows in the tradition of SUPERMAN: EARTH ONE and BATMAN: EARTH ONE, both of which were #1 New York Times bestsellers. The Teen Titans never felt like normal kids... but they had no idea how right they were. Their seemingly idyllic Oregon upbringing hides a secret -- one that will bring killers, shamans, and extraterrestrials down on their heads, and force them into an alliance that could shake the planet to its foundations! Superstars Jeff Lemire (ANIMAL MAN, GREEN ARROW) and Terry Dodson (WONDER WOMAN) reinvent DC&#039;s youngest heroes, with an all-new mythos in an all-new world!",DC Comics,2014-11-25,Middle Case,,,,144.0,,,,,,,,,,,,,2025-09-23,1.0,https://www.gothamcentralcomics.com/cdn/shop/files/202008-0000121371.jpg?v=1729179096,2025-09-28,False
book,Batman: Three Jokers,"Geoff Johns, Jason Fabok",Geoff,Johns,9781779500236,1779500238,"After years of anticipation, the epic story is finally here- find out why there are three Jokers, and what that means for the decades-long battle between the Dark Knight and the Clown Prince of Crime. In this powerful, emotional story Batman, Batgirl and Red Hood - all past victims of the Joker - work together to solve a mystery unlike anything they've ever faced before!",DC Comics,2020-11-17,Middle Case,,,,160.0,,,,,,,,,,,,,2025-09-23,1.0,https://covers.openlibrary.org/b/isbn/9781779500236-L.jpg,2025-09-28,False
book,Kingdom Come,Mark Waid,Mark,Waid,9781401220341,1401220347,"Written by Mark Waid Art and cover by Alex Ross  Eisner Award-winning artist Alex Ross provides an amazing new cover painting for this new edition of KINGDOM COME, which features a deluxe foldout cover only on its first printing! (Subsequent printings will not include the foldout.)  Written by Mark Waid and illustrated by Ross, this is the unforgettable, best-selling tale of a world spinning inexorably out of control. Waid and Ross weave a tale of youth versus experience, tradition versus change, and what defines a hero. KINGDOM COME is a riveting epic that pits the old guard - Superman, Batman, Wonder Woman and their allies - against a new, uncompromising generation of heroes. Advance-solicited; on sale September 10 - 232 pg, FC, $17.99 US",DC Comics,2008-09-30,Middle Case,,,,232.0,,,,,,,,,,,,,2025-09-23,1.0,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRenJu_jYy6JYl7Y2H9DxUG9gVlEqSlGHzBrQ&s,2025-09-28,False
book,"Department of Truth, Volume 2","James Tynion IV, Martin Simmonds",James,IV,9781534319219,1534319212,"Cole Turner thought he joined the right side of the warfor the Truth. But now that he's learning more about Lee Harvey Oswald's tenureleading the Department, he's not so sure. And as Tulpas start to gain a strongerfoothold in the real world, Cole's time to decide where he stands is runningout... The second arc of the smash-hitDEPARTMENT OF TRUTH from James Tynion IV (Batman) and Martin Simmonds (Dying isEasy) is collected here! Collects THEDEPARTMENT OF TRUTH #8-13",Image Comics,2021-11-02,Middle Case,,,,176.0,,,,,,,,,,,,,2025-09-23,1.0,https://covers.openlibrary.org/b/isbn/9781534319219-L.jpg,2025-09-28,False
book,Final Crisis,Grant Morrison,Grant,Morrison,9781401245177,140124517X,"What happens when evil wins? That&#039;s the question Superman, Batman, the Justice League and every being in the DCU have to face when Darkseid and his otherworldly legion of narcissistic followers actually win the war between light and dark. Featuring the deaths and resurrections of major DC characters, FINAL CRISIS is more than your average multi-part event-it&#039;s a deconstruction of Super Hero comics and a challenging, thought-provoking take on the modern, four-color icons.This new edition includes story pages from Batman #682-683 in addition to Final Crisis #1-7, Superman Beyond #1-2 and Submit #1.",DC Comics,2014-04-22,Middle Case,,,,352.0,,,,,,,,,,,,,2025-09-23,1.0,https://covers.openlibrary.org/b/isbn/9781401245177-L.jpg,2025-09-28,False
book,Batman: Last Knight on Earth,"Scott Snyder, Greg Capullo",Scott,Snyder,9781401294960,1401294960,"So begins this sprawling tale of the Dark Knight as he embarks on a quest through a devastated DC landscape featuring a massive cast of familiar faces from the DC Universe. As he tries to piece together the mystery of his past, he must unravel the cause of this terrible future and track down the unspeakable force that destroyed the world as he knew it... From the powerhouse creative team of writer Scott Snyder and artist Greg Capullo, the team that reinvented Batman from the emotional depths of Batman- Court of Owls to the epic power of Dark Nights- Metal, DC Black Label is proud to present what could be the last Batman story ever told... Collects Batman- Last Knight on Earth #1-3",DC Comics,2020-04-07,Middle Case,,,,200.0,,,,,,,,,,,,,2025-09-23,1.0,"https://m.media-amazon.com/images/I/71IFVYGpiaL._UF1000,1000_QL80_.jpg",2025-09-28,False
book,The Vice Guide to Sex and Drugs and Rock and Roll,"Suroosh Alvi, Gavin McInnes, Shane Smith",Suroosh,Alvi,9780446692816,446692816,"What started out as a few Montreal drug addicts scamming welfare make-work programs back in 1994 has become a global empire of hedonism known simply as VICE. From a 16-page newspaper about punk bands and violence to stores, a clothing line, VICE Films, VICE TV, VICE Records, viceland.com, etc., VICE has become much more than a way for three guys to get laid. It&#039;s become a lifestyle, a degrading and disgusting lifestyle of sex and drugs and rock and roll and death. This book is a collection of the irreverent, hilarious and downright scary gonzo journalism that brought three losers from the crack houses of Le Plateau to the deluxe apartments of Manhattan.",Grand Central Publishing,2003-09-01,Middle Case,,,,362.0,,,,,,,,,,,,,2025-09-23,1.0,https://covers.openlibrary.org/b/isbn/9780446692816-L.jpg,2025-09-28,False
book,"The Department of Truth: the Complete Conspiracy Deluxe Hardcover, Book 1","James Tynion IV, Martin Simmonds, Elsa Charretier, Tyler Boss, John J. Pearson, David Romero",James,IV,9781534399723,1534399720,"COLE TURNER has studied conspiracy theories all his life, but he isn't prepared for what happens when he discovers that all of them are true: the JFK Assassination, Flat Earth Theory, Bigfoot, Mothman, and so much worse. One organization has been covering them up for generations, controlling the narrative for what they claim is the greater good. What is the deep, dark secret behind the Department of Truth--and will learning it destroy Cole's life from the inside out? The first three arcs of the critically acclaimed series by Eisner Award-winning writer JAMES TYNION IV (Something is Killing the Children, The Nice House on the Lake) and ART MARTIN SIMMONDS (Dying is Easy) are collected here for the first time in deluxe hardcover format. Experience...THE COMPLETE CONSPIRACY. Collects THE DEPARTMENT OF TRUTH #1-#17",Image Comics,2023-05-09,Middle Case,,,,520.0,,,,,,,,,,,,,2025-09-23,1.0,"https://m.media-amazon.com/images/I/81Qnh-WwpOL._UF1000,1000_QL80_.jpg",2025-09-28,False
book,Moneyball: The Art of Winning an Unfair Game,Michael Lewis,Michael,Lewis,9780393324815,393324818,"Moneyball is a quest for the secret of success in baseball. Following the low-budget Oakland Athletics, their larger-than-life general manger, Billy Beane, and the strange brotherhood of amateur baseball enthusiasts, Michael Lewis has written not only &quot;the single most influential baseball book ever&quot; (Rob Neyer, Slate) but also what &quot;may be the best book ever written on business&quot; (Weekly Standard). &quot;I wrote this book because I fell in love with a story. The story concerned a small group of undervalued professional baseball players and executives, many of whom had been rejected as unfit for the big leagues, who had turned themselves into one of the most successful franchises in Major League Baseball. But the idea for the book came well before I had good reason to write it&mdash;before I had a story to fall in love with. It began, really, with an innocent question: how did one of the poorest teams in baseball, the Oakland Athletics, win so many games?&quot;  With these words Michael Lewis launches us into the funniest, smartest, and most contrarian book since, well, since Liar&#039;s Poker. Moneyball is a quest for something as elusive as the Holy Grail, something that money apparently can&#039;t buy: the secret of success in baseball. The logical places to look would be the front offices of major league teams, and the dugouts, perhaps even in the minds of the players themselves. Lewis mines all these possibilities&mdash;his intimate and original portraits of big league ballplayers are alone worth the price of admission&mdash;but the real jackpot is a cache of numbers&mdash;numbers!&mdash;collected over the years by a strange brotherhood of amateur baseball enthusiasts: software engineers, statisticians, Wall Street analysts, lawyers and physics professors.  What these geek numbers show&mdash;no, prove&mdash;is that the traditional yardsticks of success for players and teams are fatally flawed. Even the box score misleads us by ignoring the crucial importance of the humble base-on-balls. This information has been around for years, and nobody inside Major League Baseball paid it any mind. And then came Billy Beane, General Manager of the Oakland Athletics.  Billy paid attention to those numbers &mdash;with the second lowest payroll in baseball at his disposal he had to&mdash;and this book records his astonishing experiment in finding and fielding a team that nobody else wanted. Moneyball is a roller coaster ride: before the 2002 season opens, Oakland must relinquish its three most prominent (and expensive) players, is written off by just about everyone, and then comes roaring back to challenge the American League record for consecutive wins.  In a narrative full of fabulous characters and brilliant excursions into the unexpected, Michael Lewis shows us how and why the new baseball knowledge works. He also sets up a sly and hilarious morality tale: Big Money, like Goliath, is always supposed to win...how can we not cheer for David?&quot;One of the best baseball&mdash;and management&mdash;books out....Deserves a place in the Baseball Hall of Fame.&quot;&mdash;Forbes",W. W. Norton & Company,2003-01-01,Middle Case,,,,320.0,,,,,,,,,,,,,2025-09-23,1.0,https://covers.openlibrary.org/b/isbn/9780393324815-L.jpg,2025-09-28,False
book,The Art of Smart Football,Chris B. Brown,Chris,Brown,9780692448250,069244825X,"Masterfully blending thought provoking analysis with engrossing storytelling, The Art of Smart Football examines football’s most innovative and enduring strategies and ideas, through the lens of the sport’s best coaches and players.  The Art of Smart Football is an eye-opening, fascinating and accessible contribution to our understanding of America’s favorite sport.   The Art of Smart Football features analysis of football's top strategists and schemes, including:    Pete Carroll's aggressive defense Chip Kelly's spread offense and new-school methods The roots of Bill Belichick's defensive genius Gus Malzahn's up-tempo offense The strategies Peyton Manning, Tom Brady, and Aaron Rodgers use to shred defenses Art Briles and Baylor's wide open attack Nick Saban's defensive evolution    The book also includes explorations of the newest trends in football, including ""packaged plays"" that combine runs and passes into one play, ""pattern match"" defenses that blend man-to-man and zone pass coverages, how defenses are responding to the spread offense, and much more.    Praise for The Essential Smart Football:   ""Can't recommend it highly enough."" -- Boston Globe  ""A book that you need to buy if you're a football fan with a pulse."" -- Bill Barnwell, Grantland ""I'm a better coach after reading this book. A must have in every coach's library!"" -- Dub Maddox, Offensive Coordinator, Jenks High School, Jenks, Oklahoma (12x Oklahoma State champions)  ""Amazing how much football knowledge Brown, a lawyer and sportswriter, packs into 139 pages... Often, many of you ask me for a good, educational football book to read, now I'll tell you to buy The Essential Smart Football, for one simple reason: It's going to make you and dads in this world a lot smarter about football."" -- Peter King, Sports Illustrated's The MMQB ""Accessibly erudite"". -- New York Magazine ""Must-have for any football fan."" -- Dan Shanoff, USA Today",SCBB Press,2015-07-09,Middle Case,,,,182.0,,,,,,,,,,,,,2025-09-23,1.0,"https://m.media-amazon.com/images/I/714PtCYW-cL._UF1000,1000_QL80_.jpg",2025-09-28,False
book,Blood Meridian: Or the Evening Redness in the West,Cormac McCarthy,Cormac,McCarthy,9780679728757,679728759,"An epic novel of the violence and depravity that attended America&#039;s westward expansion, Blood Meridian brilliantly subverts the conventions of the Western novel and the mythology of the &quot;wild west.&quot; Based on historical events that took place on the Texas-Mexico border in the 1850s, it traces the fortunes of the Kid, a fourteen-year-old Tennesseean who stumbles into the nightmarish world where Indians are being murdered and the market for their scalps is thriving.Publisher&#039;s Note: The 25th Anniversary Edition has been reset, causing the text to reflow. Page references based on earlier editions will no longer apply, so Vintage Books has compiled the following chart as a conversion aid. Download the chart by copying and pasting the following link into your browser:http://knopfdoubleday.com/marketing/BloodMeridianPageReference.pdf",Vintage,1992-05-05,Middle Case,,,,368.0,,,,,,,,,,,,,2025-09-23,1.0,https://covers.openlibrary.org/b/isbn/9780679728757-L.jpg,2025-09-28,False
book,How to Watch Basketball Like a Genius,Nick Greene,Nick,Greene,9781419744815,141974481X,"A brilliant, entertaining deconstruction of basketball, drawing on the expertise of board-game creators, magicians, therapists, and more Basketball is the second-most popular sport in the world--an insanely complicated game built on a combination of athleticism, craftiness, rules, intangibles, and superstardom. However, while it's enjoyable to watch, the real reason it works is because it's a game of culture, art, and all the things that make us human. How to Watch Basketball Like a Genius deconstructs the sport from top to bottom and then puts it back together again, detailing its intricacies through reporting and dozens of interviews with experts. These experts, however, are a diverse group: wine critics weighing in on LeBron's ability to delegate on the fly, magicians analyzing Chris Paul's mystifying dribbling techniques, cartographers breaking down Steph Curry's deadeye three-point shooting. Every chapter treats basketball to a multi-disciplined study that adventures far beyond the lines of the court, examining key elements of the sport from some surprising and revealing angles. There's a reason it has conquered the world, and every game is a chance to learn about pop culture, fashion, history, science, art, and anything else that bounces our way.","Abrams, Inc.",2022-04-12,Middle Case,,,,272.0,,,,,,,,,,,,,2025-09-23,1.0,https://www.abramsbooks.com/cover_images/5/9781419744815_s3.jpg,2025-09-28,False
book,Gridiron Genius: A Master Class in Winning Championships and Building Dynasties in the NFL,Michael Lombardi,Michael,Lombardi,9780525573814,052557381X,"Former NFL general manager and three-time Super Bowl winner Michael Lombardi reveals what makes football organizations tick at the championship level. From personnel to practice to game-day decisions that win titles, Lombardi shares what he learned working with coaching legends Bill Walsh of the 49ers, Al Davis of the Raiders, and Bill Belichick of the Patriots, among others, during his three decades in football.Why do some NFL franchises dominate year after year while others can never crack the code of success? For 30 years Michael Lombardi had a front-row seat and full access as three titans--Bill Walsh, Al Davis, and Bill Belichick--reinvented the game, turning it into a national obsession while piling up Super Bowl trophies. Now, in Gridiron Genius, Lombardi provides the blueprint that makes a successful organization click and win--and the mistakes unsuccessful organizations make that keep them on the losing side time and again.      In reality, very few coaches understand the philosophies, attention to detail, and massive commitment that defined NFL juggernauts like the 49ers and the Patriots. The best organizations are not just employing players, they are building something bigger. Gridiron Genius will explain how the best leaders evaluate, acquire, and utilize personnel in ways other professional minds, football and otherwise, won't even contemplate. How do you know when to trade a player? How do you create a positive atmosphere when everyone is out to maximize his own paycheck? And why is the tight end like the knight on a chessboard?      To some, game planning consists only of designing an attack for the next opponent. But Lombardi explains how the smartest leaders script everything: from an afternoon's special-teams practice to a season's playoff run to a decade-long organizational blueprint. Readers will delight in the Lombardi tour of an NFL weekend, including what really goes on during the game on and off the field and inside the headset. First stop: Belichick's Saturday night staff meeting, where he announces how the game will go the next day. Spoiler alert: He always nails it.     Football dynasties are built through massive attention to detail and unwavering commitment. From how to build a team, to how to watch a game, to understanding the essential qualities of great leaders, Gridiron Genius gives football fans the knowledge to be the smartest person in the room every Sunday.",Crown Archetype,2018-09-11,Middle Case,,,,288.0,,,,,,,,,,,,,2025-09-23,1.0,"https://m.media-amazon.com/images/I/91fhha-waHL._UF1000,1000_QL80_.jpg",2025-09-28,False
book,The Third Rainbow Girl,Emma Copley Eisenberg,Emma,Eisenberg,9780316449236,316449237,"A stunningly written investigation of the murder of two young women--showing how a violent crime casts a shadow over an entire community. In the early evening of June 25, 1980 in Pocahontas County, West Virginia, two middle-class outsiders named Vicki Durian, 26, and Nancy Santomero, 19, were murdered in an isolated clearing. They were hitchhiking to a festival known as the Rainbow Gathering but never arrived; they traveled with a third woman however, who lived. For thirteen years, no one was prosecuted for the ""Rainbow Murders,"" though deep suspicion was cast on a succession of local residents in the community, depicted as poor, dangerous, and backward. In 1993, a local farmer was convicted, only to be released when a known serial killer and diagnosed schizophrenic named Joseph Paul Franklin claimed responsibility. With the passage of time, as the truth seemed to slip away, the investigation itself caused its own traumas--turning neighbor against neighbor and confirming a fear of the violence outsiders have done to this region for centuries. Emma Copley Eisenberg spent years living in Pocahontas and re-investigating these brutal acts. Using the past and the present, she shows how this mysterious act of violence has loomed over all those affected for generations, shaping their fears, fates, and the stories they tell about themselves. In The Third Rainbow Girl, Eisenberg follows the threads of this crime through the complex history of Appalachia, forming a searing and wide-ranging portrait of America--its divisions of gender and class, and of its violence.",Hachette Books,2020-01-21,Middle Case,,,,336.0,,,,,,,,,,,,,2025-09-23,1.0,https://covers.openlibrary.org/b/isbn/9780316449236-L.jpg,2025-09-28,False
book,A Narco History,"Carmen Boullosa, Mike Wallace",Carmen,Boullosa,9781944869120,1944869123,"The term ""Mexican Drug War” misleads. It implies that the ongoing bloodbath, which has now killed well over 100,000 people, is an internal Mexican affair. But this diverts attention from the U.S. role in creating and sustaining the carnage. It’s not just that Americans buy drugs from, and sell weapons to, Mexico’s murderous cartels. It’s that ever since the U.S. prohibited the use and sale of drugs in the early 1900s, it has pressured Mexico into acting as its border enforcer--with increasingly deadly consequences. Mexico was not a helpless victim. Powerful forces within the country profited hugely from supplying Americans with what their government forbade them. But the policies that spawned the drug war have proved disastrous for both countries. Written by two award-winning authors, one American and the other Mexican,A Narco History reviews the interlocking twentieth-century histories that produced this twenty-first century calamity, and proposes how to end it.","OR Books, LLC",2016-11-15,Middle Case,,,,258.0,,,,,,,,,,,,,2025-09-23,1.0,"https://m.media-amazon.com/images/I/81Hp4tYKYZL._UF1000,1000_QL80_.jpg",2025-09-28,False
book,We Kill Because We Can: From Soldiering to Assassination in the Drone Age,Laurie Calhoun,Laurie,Calhoun,9781783605484,1783605480,"We live in an age of drone warfare, where the attacks on targets deemed to be threatening happens remotely. The decisions to kill are made covertly in rooms far away from the target, and we can now kill without being personally present. Killing has become all too easy and convenient. As a result, argues Laurie Calhoun in this provocative book, self-defense has become conflated with outright aggression, and black ops have become the standard military operating procedure.   In this remarkable and often-shocking book, Calhoun dissects the moral, psychological, and cultural impact that these drone killings are having on modern society. In We Kill Because We Can she draws powerful, thought-provoking parallels between drone operators and mafia hitmen as well as the Trayvon Martin case and the killing of a teen in Yemen by drone. The result is a timely and provoking analysis of Western foreign policy and its disturbing use of remote-controlled death.   “A clarion call to reverse course if we ever want to see an end to our military adventures abroad and what the author refers to as our ‘single-minded obsession with lethality as a solution to conflict.’ Read it and act!”—Medea Benjamin, author of Drone Warfare: Killing by Remote Control",Zed Books,2015-11-15,Middle Case,,,,416.0,,,,,,,,,,,,,2025-09-23,1.0,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1444939541i/25198104.jpg,2025-09-28,False
book,Dune,Frank Herbert,Frank,Herbert,9780441013593,441013597,"Here is the novel that will be forever considered a triumph of the imagination. Set on the desert planet Arrakis, Dune is the story of the boy Paul Atreides, who would become the mysterious man known as Muad'Dib. He would avenge the traitorous plot against his noble family--and would bring to fruition humankind's most ancient and unattainable dream. A stunning blend of adventure and mysticism, environmentalism and politics, Dune won the first Nebula Award, shared the Hugo Award, and formed the basis of what it undoubtedly the grandest epic in science fiction.",Ace,2005-08-02,Middle Case,,,,704.0,,,,,,,,,,,,,2025-09-23,1.0,https://covers.openlibrary.org/b/isbn/9780441013593-L.jpg,2025-09-28,False
book,Folktales from India,A.K. Ramanujan,A.K.,Ramanujan,9780679748328,679748326,"Folktales from India is an enchanting collection of one hundred and ten tales translated from twenty-two different languages, by turns harrowing and comic, sardonic and allegorical, mysterious and romantic. Gods disguised as beggars and beasts; animals enacting Machiavellian intrigues: sagacious jesters and magical storytellers; wise counselors and foolish kings -- all of these inhabit a fabular world, yet one firmly grounded in everyday life. Augmented by A. K. Ramanujan&#039;s definitive introduction and notes, this is an indispensable guide to India&#039;s ageless folklore tradition.",Pantheon,1994-01-13,Middle Case,,,,384.0,,,,,,,,,,,,,2025-09-23,1.0,"https://m.media-amazon.com/images/I/71Hzu11p0CL._UF1000,1000_QL80_.jpg",2025-09-28,False
book,The Road,Cormac McCarthy,Cormac,McCarthy,9780307387899,307387895,"NATIONAL BESTSELLERPULITZER PRIZE WINNER National Book Critic's Circle Award FinalistA New York Times Notable BookOne of the Best Books of the YearThe Boston Globe, The Christian Science Monitor, The Denver Post, The Kansas City Star, Los Angeles Times, New York, People, Rocky Mountain News, Time, The Village Voice, The Washington PostThe searing, postapocalyptic novel destined to become Cormac McCarthy's masterpiece.A father and his son walk alone through burned America. Nothing moves in the ravaged landscape save the ash on the wind. It is cold enough to crack stones, and when the snow falls it is gray. The sky is dark. Their destination is the coast, although they don't know what, if anything, awaits them there. They have nothing; just a pistol to defend themselves against the lawless bands that stalk the road, the clothes they are wearing, a cart of scavenged food—and each other.The Road is the profoundly moving story of a journey. It boldly imagines a future in which no hope remains, but in which the father and his son, ""each the other's world entire,"" are sustained by love. Awesome in the totality of its vision, it is an unflinching meditation on the worst and the best that we are capable of: ultimate destructiveness, desperate tenacity, and the tenderness that keeps two people alive in the face of total devastation.",Vintage Books,2007-03-28,Middle Case,,,,287.0,,,,,,,,,,,,,2025-09-23,1.0,https://covers.openlibrary.org/b/isbn/9780307387899-L.jpg,2025-09-28,False
book,Nineteen Eighty-Four,George Orwell,George,Orwell,9781473234802,1473234808,"WAR IS PEACE FREEDOM IS SLAVERY IGNORANCE IS STRENGTH Winston Smith is a good worker. He supports the Party. He is good at his job rewriting history to Government specification. Big Brother watches him, but there is nothing to see. Winston's struggle against the totalitarian world he inhabits is a closely guarded secret. It exists only in his mind until he begins a secret love affair with Julia, a fellow worker. Is this enough to push him to revolution? Or is it the beginning of his downfall? A masterwork of dystopian fiction, Nineteen Eighty-Four is harrowingly prescient, and its impact has stretched around the globe. With a new introduction by political editor and writer Ian Dunt, this brand new edition of a science fiction classic is a must-have for any collector.",Gateway Books,2022-06-28,Middle Case,,,,320.0,,,,,,,,,,,,,2025-09-23,1.0,https://covers.openlibrary.org/b/isbn/9781473234802-L.jpg,2025-09-28,False
book,The Three-Body Problem,Cixin Liu,Cixin,Liu,9780765382030,765382032,"The Three-Body Problem is the first chance for English-speaking readers to experience this multiple award winning phenomenon from China's most beloved science fiction author, Liu Cixin.Set against the backdrop of China's Cultural Revolution, a secret military project sends signals into space to establish contact with aliens. An alien civilization on the brink of destruction captures the signal and plans to invade Earth. Meanwhile, on Earth, different camps start forming, planning to either welcome the superior beings and help them take over a world seen as corrupt, or to fight against the invasion. The result is a science fiction masterpiece of enormous scope and vision.",Tor Books,2016-01-12,Middle Case,,,,416.0,,,,,,,,,,,,,2025-09-23,1.0,https://covers.openlibrary.org/b/isbn/9780765382030-L.jpg,2025-09-28,False
book,"Thinking, Fast and Slow",Daniel Kahneman,Daniel,Kahneman,9780374533557,374533555,"Major New York Times bestsellerWinner of the National&nbsp;Academy of Sciences Best Book Award in 2012Selected by the New York Times Book Review as one of the best books of 2011A Globe and Mail Best Books of the Year 2011 TitleOne of The Economist&rsquo;s 2011 Books of the Year One of The Wall Steet Journal&#039;s Best Nonfiction Books of the Year 2011Daniel Kahneman, recipient of the Nobel Prize in Economic Sciences for his seminal work in psychology that challenged the rational model of judgment and decision making, is one of our most important thinkers. His ideas have had a profound and widely regarded impact on many fields&mdash;including economics, medicine, and politics&mdash;but until now, he has never brought together his many years of research and thinking in one book.In the highly anticipated Thinking, Fast and Slow, Kahneman takes us on a groundbreaking tour of the mind and explains the two systems that drive the way we think. System 1 is fast, intuitive, and emotional; System 2 is slower, more deliberative, and more logical. Kahneman exposes the extraordinary capabilities&mdash;and also the faults and biases&mdash;of fast thinking, and reveals the pervasive influence of intuitive impressions on our thoughts and behavior. The impact of loss aversion and overconfidence on corporate strategies, the difficulties of predicting what will make us happy in the future, the challenges of properly framing risks at work and at home, the profound effect of cognitive biases on everything from playing the stock market to planning the next vacation&mdash;each of these can be understood only by knowing how the two systems work together to shape our judgments and decisions.","Farrar, Straus and Giroux",2013-04-02,Middle Case,,,,512.0,,,,,,,,,,,,,2025-09-23,1.0,https://covers.openlibrary.org/b/isbn/9780374533557-L.jpg,2025-09-28,False
book,"Art of Living: The Classical Manual on Virtue, Happiness, and Effectiveness","Epictetus, Sharon Lebell",Epictetus,Epictetus,9780061286056,61286052,"Epictetus was born into slavery about 55 ce in the eastern outreaches of the Roman Empire. Once freed, he established an influential school of Stoic philosophy, stressing that human beings cannot control life, only their responses to it. By putting into practice the ninety-three witty, wise, and razor-sharp instructions that make up The Art of Living, readers learn to meet the challenges of everyday life successfully and to face life&#039;s inevitable losses and disappointments with grace.",HarperOne,2007-06-26,Middle Case,,,,144.0,,,,,,,,,,,,,2025-09-23,1.0,https://covers.openlibrary.org/b/isbn/9780061286056-L.jpg,2025-09-28,False
book,The Myth of Sisyphus: And Other Essays,Albert Camus,Albert,Camus,9780679733737,679733736,"One of the most influential works of this century, The Myth of Sisyphus and Other Essays is a crucial exposition of existentialist thought. Influenced by works such as Don Juan and the novels of Kafka, these essays begin with a meditation on suicide; the question of living or not living in a universe devoid of order or meaning. With lyric eloquence, Albert Camus brilliantly posits a way out of despair, reaffirming the value of personal existence, and the possibility of life lived with dignity and authenticity.",Vintage,1991-05-07,Middle Case,,,,224.0,,,,,,,,,,,,,2025-09-23,1.0,"https://m.media-amazon.com/images/I/61-M36Jrb0L._UF1000,1000_QL80_.jpg",2025-09-28,False
book,Batman: The Court of Owls Saga: DC Compact Comics Edition,Scott Snyder,Scott,Snyder,9781779527271,1779527276,"""After a series of brutal murders rocks Gotham City, Batman begins to realize that perhaps these crimes go far deeper than appearances suggest. As the Caped Crusader begins to unravel this deadly mystery, he discovers a conspiracy going back to his youth and beyond to the origins of the city he's sworn to protect. Could the Court of Owls, once thought to be nothing more than an urban legend, be behind the crime and corruption? Or is Bruce Wayne losing his grip on sanity and falling prey to the pressures of his war on crime?""--",,2024-01-01,Middle Case,,,,,,,,,,,,,,,,,2025-09-23,1.0,https://covers.openlibrary.org/b/isbn/9781779527271-L.jpg,2025-09-28,True
book,The Politics of Friendship,Jacques Derrida,Jacques,Derrida,9781788738590,1788738594,"Jacques Derrida was one of most influential philosophers of the 20th century. In The Politics of Friendship he explores the idea of friendship and its political consequences, past and future in order to explore invention of a radically new friendship, of a deeper and more inclusive democracy.",Verso Books,2020-10-13,Middle Case,,,,336.0,,,,,,,,,,,,,2025-09-23,1.0,"https://m.media-amazon.com/images/I/61fviHzHfkL._UF1000,1000_QL80_.jpg",2025-09-28,False
book,Meditations,"Marcus Aurelius, David V. Hicks, C. Scot Hicks",Marcus,Aurelius,9781668050804,1668050803,"A powerful and accessible translation of Marcus Aurelius's timeless book on character, what it takes to be a good leader, and how to live a fulfilling life. Marcus Aurelius ruled the Roman Empire at its height, yet he remained untainted by the immense wealth and absolute power that had corrupted many of his predecessors. He knew the secret of how to live the good life amid trying and often catastrophic circumstances, of how to find happiness and peace when surrounded by misery and turmoil, and how to make the right choices--even if they are more difficult--without regard for self-interest. Offering a vivid and fresh translation of this important piece of ancient literature, Meditations brings Marcus's inspiring words to life and shows his wisdom to be as relevant today as it was in the second century. This book speaks to the soul of anyone who has ever faced adversity or believed in a better day.",Scribner,2023-11-14,Middle Case,,,,160.0,,,,,,,,,,,,,2025-09-23,1.0,"https://m.media-amazon.com/images/I/81IDnK0xEbL._UF1000,1000_QL80_.jpg",2025-09-28,False
book,The Death of Superman,"Dan Jurgens, Doug Hazlewood, Dennis Janke, Denis Rodier, Gene D'Angelo, Glenn Whitmore, John Costanza, Albert DeGuzman, Bill Oakley, Willie Schubert, Jerry Ordway, Louise Simonson, Roger Stern, Jon Bogdanove, Tom Grummett, Jackson Guice, Brett Breeding, Rick Burchett",Dan,(Artist),9781401266653,1401266657,"Doomsday. A creature with a single-minded purpose of death and destruction.He has landed on Earth, laying waste to anything-and anyone-who dares stand inhis way. The Justice League makes a valiant, but ultimately desperate, attemptto stop the unknown juggernaut. When the beast nears Metropolis, Supermananswers the call to stop him. And then the unthinkable happens. The Man ofSteel...dies. DC Entertainment presents a new edition of the best-sellinggraphic novel of all time, collecting ACTION COMICS #18-20, ADVENTURES OFSUPERMAN #496-498, SUPERMAN #73-75, SUPERMAN: THE MAN OF STEEL #17-19, andNEWSTIME: THE LIFE AND DEATH OF SUPERMAN.",DC Comics,2016-04-05,Middle Case,,,,224.0,,,,,,,,,,,,,2025-09-23,1.0,"https://m.media-amazon.com/images/I/81gCZ747bUL._UF1000,1000_QL80_.jpg",2025-09-28,False
